2026-03-11 11:11:22.451 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-11 11:11:22.564 [main] INFO  c.a.b.AccountTransactionApplication - Starting AccountTransactionApplication using Java 17.0.8.1 with PID 18760 (C:\Users\sharm\.gemini\antigravity\scratch\account-transaction-backend\target\classes started by sharm in C:\Users\sharm\.gemini\antigravity\scratch\account-transaction-backend)
2026-03-11 11:11:22.567 [main] DEBUG c.a.b.AccountTransactionApplication - Running with Spring Boot v3.2.3, Spring v6.1.4
2026-03-11 11:11:22.568 [main] INFO  c.a.b.AccountTransactionApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-11 11:11:24.348 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-11 11:11:24.490 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 126 ms. Found 4 JPA repository interfaces.
2026-03-11 11:11:26.168 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8021 (http)
2026-03-11 11:11:26.193 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8021"]
2026-03-11 11:11:26.201 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-11 11:11:26.202 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-11 11:11:26.373 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-11 11:11:26.376 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3685 ms
2026-03-11 11:11:26.826 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-11 11:11:27.437 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection oracle.jdbc.driver.T4CConnection@6bce4140
2026-03-11 11:11:27.441 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-11 11:11:27.713 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-11 11:11:27.936 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-11 11:11:28.033 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-11 11:11:28.459 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-11 11:11:28.598 [main] WARN  org.hibernate.dialect.Dialect - HHH000511: The 11.2.0 version for [org.hibernate.dialect.OracleDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 19.0.0. Check the community dialects project for available legacy versions.
2026-03-11 11:11:28.606 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: OracleDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-11 11:11:29.788 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-11 11:11:29.793 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-11 11:11:30.547 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-03-11 11:11:31.843 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-11 11:11:33.250 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@67c64b9c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@311d8595, org.springframework.security.web.context.SecurityContextHolderFilter@7db72209, org.springframework.security.web.header.HeaderWriterFilter@6fb87b73, org.springframework.web.filter.CorsFilter@688c914e, org.springframework.security.web.authentication.logout.LogoutFilter@7aead7d9, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2b35976a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@39bbe17c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3760f3e8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6f05d5f2, org.springframework.security.web.session.SessionManagementFilter@b0e903a, org.springframework.security.web.access.ExceptionTranslationFilter@2762e9a7, org.springframework.security.web.access.intercept.AuthorizationFilter@5ca9a6a8]
2026-03-11 11:11:33.934 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8021"]
2026-03-11 11:11:33.979 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8021 (http) with context path ''
2026-03-11 11:11:34.005 [main] INFO  c.a.b.AccountTransactionApplication - Started AccountTransactionApplication in 12.171 seconds (process running for 12.917)
2026-03-11 11:12:35.534 [http-nio-8021-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-11 11:12:35.534 [http-nio-8021-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-11 11:12:35.539 [http-nio-8021-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2026-03-11 11:12:37.139 [http-nio-8021-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 971 ms
2026-03-11 11:14:21.524 [http-nio-8021-exec-4] INFO  c.a.b.controller.AccountController - Account lookup | AccountNumber: ACC-0001-UUID
2026-03-11 11:22:24.036 [http-nio-8021-exec-8] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [135] milliseconds.
2026-03-11 11:22:24.191 [http-nio-8021-exec-8] INFO  c.a.b.c.TransactionController - Deposit request | Account: ACC-0001-UUID
2026-03-11 11:22:24.279 [http-nio-8021-exec-8] INFO  c.a.b.aop.TransactionLoggingAspect - [TXN-AUDIT] Starting strategy: DepositStrategy
2026-03-11 11:22:24.388 [http-nio-8021-exec-8] INFO  c.a.b.aop.TransactionLoggingAspect - [TXN-AUDIT] DepositStrategy completed in 109ms | Result: com.atm.backend.dto.TransactionResponse@762ff935
2026-03-11 11:22:24.407 [http-nio-8021-exec-8] INFO  c.a.b.s.impl.IdempotencyServiceImpl - Idempotency key saved: 123-3424-sdf-3434
2026-03-11 11:22:56.934 [http-nio-8021-exec-7] INFO  c.a.b.c.TransactionController - Deposit request | Account: ACC-0001-UUID
2026-03-11 11:22:56.958 [http-nio-8021-exec-7] INFO  c.a.b.s.impl.IdempotencyServiceImpl - Idempotency cache hit for key: 123-3424-sdf-3434
2026-03-11 11:23:09.154 [http-nio-8021-exec-9] INFO  c.a.b.c.TransactionController - Deposit request | Account: ACC-0001-UUID
2026-03-11 11:23:09.176 [http-nio-8021-exec-9] INFO  c.a.b.aop.TransactionLoggingAspect - [TXN-AUDIT] Starting strategy: DepositStrategy
2026-03-11 11:23:09.176 [http-nio-8021-exec-9] INFO  c.a.b.aop.TransactionLoggingAspect - [TXN-AUDIT] DepositStrategy completed in 0ms | Result: com.atm.backend.dto.TransactionResponse@7a7fed96
2026-03-11 11:23:09.188 [http-nio-8021-exec-9] INFO  c.a.b.s.impl.IdempotencyServiceImpl - Idempotency key saved: 123-3424-sdf-3435
2026-03-11 14:46:32.475 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h31m33s3ms745µs100ns).
2026-03-11 15:35:06.557 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-11 15:35:06.630 [main] INFO  c.a.b.AccountTransactionApplication - Starting AccountTransactionApplication using Java 17.0.8.1 with PID 31276 (C:\Users\sharm\.gemini\antigravity\scratch\account-transaction-backend\target\classes started by sharm in C:\Users\sharm\.gemini\antigravity\scratch\account-transaction-backend)
2026-03-11 15:35:06.631 [main] DEBUG c.a.b.AccountTransactionApplication - Running with Spring Boot v3.2.3, Spring v6.1.4
2026-03-11 15:35:06.632 [main] INFO  c.a.b.AccountTransactionApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-11 15:35:08.296 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-11 15:35:08.406 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 93 ms. Found 4 JPA repository interfaces.
2026-03-11 15:35:09.982 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8022 (http)
2026-03-11 15:35:09.999 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8022"]
2026-03-11 15:35:10.004 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-11 15:35:10.004 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-11 15:35:10.118 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-11 15:35:10.121 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3401 ms
2026-03-11 15:35:10.524 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-11 15:35:10.949 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection oracle.jdbc.driver.T4CConnection@18cf5c52
2026-03-11 15:35:10.952 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-11 15:35:11.162 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-11 15:35:11.367 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-11 15:35:11.507 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-11 15:35:12.115 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-11 15:35:12.351 [main] WARN  org.hibernate.dialect.Dialect - HHH000511: The 11.2.0 version for [org.hibernate.dialect.OracleDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 19.0.0. Check the community dialects project for available legacy versions.
2026-03-11 15:35:12.363 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: OracleDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-11 15:35:13.734 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-11 15:35:13.738 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-11 15:35:14.550 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-03-11 15:35:15.719 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-11 15:35:17.125 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@ae20523, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4a282c78, org.springframework.security.web.context.SecurityContextHolderFilter@2de57397, org.springframework.security.web.header.HeaderWriterFilter@45ec6bb3, org.springframework.web.filter.CorsFilter@2700609f, org.springframework.security.web.authentication.logout.LogoutFilter@379ddab2, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@310045fc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1036bb9f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64a0a1c6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@141cee26, org.springframework.security.web.session.SessionManagementFilter@59e02113, org.springframework.security.web.access.ExceptionTranslationFilter@28b995b8, org.springframework.security.web.access.intercept.AuthorizationFilter@17c95612]
2026-03-11 15:35:17.698 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8022"]
2026-03-11 15:35:17.735 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8022 (http) with context path ''
2026-03-11 15:35:17.749 [main] INFO  c.a.b.AccountTransactionApplication - Started AccountTransactionApplication in 11.812 seconds (process running for 12.394)
2026-03-11 15:36:22.413 [http-nio-8022-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-11 15:36:22.413 [http-nio-8022-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-11 15:36:22.417 [http-nio-8022-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2026-03-11 15:36:22.676 [http-nio-8022-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [160] milliseconds.
2026-03-11 15:36:22.676 [http-nio-8022-exec-2] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [138] milliseconds.
2026-03-11 16:08:26.740 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5m23s456ms640µs100ns).
2026-03-11 16:08:34.926 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5m23s456ms359µs400ns).
2026-03-11 16:14:20.478 [http-nio-8022-exec-3] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 1585 ms
2026-03-11 16:14:48.819 [http-nio-8022-exec-4] INFO  c.a.b.controller.AccountController - Account lookup | AccountNumber: ACC-0009-UUID
2026-03-11 16:26:00.961 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m55s900ms719µs500ns).
2026-03-11 16:26:22.839 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m55s896ms793µs100ns).
2026-03-11 16:34:14.630 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m51s778ms18µs600ns).
2026-03-11 16:34:22.805 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m51s778ms808µs700ns).
